Date,MSFT,KLM,ING,MOS
2000-01-20,34.35,0.35,14.06,14.09
2000-01-21,34.33,0.35,13.92,13.79
2000-01-24,33.3,0.35,13.56,13.79
2000-01-25,32.4,0.35,13.22,13.45
2000-01-26,32.86,0.35,13.33,13.59
2000-01-27,32.05,0.35,13.28,13.25
2000-01-28,31.48,0.35,13.09,13.0
2000-01-31,31.32,0.35,12.79,13.3
2000-02-01,31.6,0.35,12.78,13.59
2000-02-02,32.86,0.35,12.7,13.45
2000-02-03,32.74,0.43,13.11,13.5
2000-02-04,33.48,0.33,13.34,13.15
2000-02-07,34.27,0.35,13.23,13.2
2000-02-08,34.15,0.35,13.55,13.0
2000-02-09,35.11,0.31,13.64,13.3
2000-02-10,33.33,0.35,13.17,12.66
2000-02-11,33.64,0.35,12.59,12.31
2000-02-14,32.48,0.31,12.51,12.02
2000-02-15,32.0,0.31,12.89,12.56
2000-02-16,31.84,0.31,13.25,12.61
2000-02-17,31.6,0.31,13.61,12.51
2000-02-18,32.08,0.3,13.55,12.12
2000-02-22,30.52,0.3,13.28,11.77
2000-02-23,30.0,0.31,13.59,12.07
2000-02-24,30.24,0.27,13.14,11.82
2000-02-25,30.38,0.3,12.97,11.77
2000-02-28,28.95,0.3,12.79,11.13
2000-02-29,29.43,0.3,12.92,11.52
2000-03-01,28.75,0.2,12.65,10.74
2000-03-02,29.45,0.31,12.84,10.79
2000-03-03,30.4,0.2,12.23,10.88
2000-03-06,30.8,0.2,12.18,10.88
2000-03-07,30.84,0.3,12.59,10.24
2000-03-08,30.1,0.3,12.29,10.29
2000-03-09,30.58,0.3,12.1,10.34
2000-03-10,31.94,0.25,12.23,10.15
2000-03-13,31.32,0.25,11.85,10.16
2000-03-14,31.64,0.25,11.85,10.06
2000-03-15,30.34,0.25,12.04,10.51
2000-03-16,30.78,0.25,12.61,12.29
2000-03-17,30.56,0.25,12.81,12.24
2000-03-20,31.68,0.25,12.87,11.89
2000-03-21,31.04,0.25,13.16,11.94
2000-03-22,32.98,0.29,13.77,12.24
2000-03-23,34.27,0.29,13.8,12.34
2000-03-24,36.13,0.29,13.69,12.14
2000-03-27,34.57,0.3,13.67,11.99
2000-03-28,33.24,0.3,13.8,11.89
2000-03-29,33.74,0.25,13.66,11.94
2000-03-30,34.07,0.3,13.53,11.55
2000-03-31,34.01,0.3,13.56,12.04
2000-04-03,30.3,0.3,13.55,11.7
2000-04-04,29.37,0.25,14.3,11.99
2000-04-05,28.31,0.23,14.33,11.65
2000-04-06,28.19,0.23,14.17,11.15
2000-04-07,27.91,0.23,14.25,11.4
2000-04-10,28.43,0.23,14.16,11.2
2000-04-11,27.31,0.2,14.36,10.8
2000-04-12,26.35,0.2,14.58,11.1
2000-04-13,25.94,0.2,14.71,11.5
2000-04-14,25.38,0.2,14.57,11.4
2000-04-17,23.82,0.21,14.13,10.9
2000-04-18,24.54,0.21,13.95,11.15
2000-04-19,26.13,0.21,13.97,11.35
2000-04-20,25.22,0.21,14.05,10.9
2000-04-24,21.57,0.21,14.05,11.0
2000-04-25,22.06,0.21,14.11,11.3
2000-04-26,22.46,0.21,14.05,12.39
2000-04-27,21.63,0.21,13.88,12.34
2000-04-28,22.7,0.17,13.78,12.49
2000-05-01,23.38,0.17,13.96,12.39
2000-05-02,23.36,0.17,13.91,12.54
2000-05-03,22.58,0.17,13.79,13.08
2000-05-04,22.56,0.17,13.84,12.24
2000-05-05,22.54,0.17,13.79,12.98
2000-05-08,22.76,0.17,13.76,13.18
2000-05-09,22.52,0.17,13.97,13.73
2000-05-10,21.73,0.17,14.28,13.58
2000-05-11,21.37,0.17,14.38,13.43
2000-05-12,21.95,0.17,14.38,13.63
2000-05-15,22.14,0.17,14.56,13.58
2000-05-16,22.32,0.17,14.67,13.48
2000-05-17,22.1,0.17,14.59,13.28
2000-05-18,21.83,0.17,14.62,13.53
2000-05-19,20.97,0.17,14.54,13.18
2000-05-22,20.89,0.17,14.87,13.53
2000-05-23,20.49,0.18,14.93,13.28
2000-05-24,20.25,0.18,15.22,13.63
2000-05-25,20.71,0.2,14.85,13.28
2000-05-26,19.91,0.17,15.32,13.08
2000-05-30,20.03,0.17,15.81,12.49
2000-05-31,20.42,0.17,15.61,12.74
2000-06-01,20.65,0.17,15.74,12.29
2000-06-02,21.17,0.17,16.18,12.49
2000-06-05,21.18,0.17,16.07,12.29
2000-06-06,21.87,0.17,16.44,12.29
2000-06-07,22.22,0.17,16.6,12.34
2000-06-08,22.96,0.17,16.52,12.04
2000-06-09,22.34,0.17,16.15,11.84
2000-06-12,22.14,0.17,16.41,11.7
2000-06-13,21.41,0.18,16.98,11.66
2000-06-14,22.4,0.18,17.19,11.66
2000-06-15,22.72,0.18,17.01,11.86
2000-06-16,23.3,0.18,16.69,11.66
2000-06-19,23.28,0.18,16.46,11.76
2000-06-20,23.7,0.17,16.41,11.31
2000-06-21,24.7,0.17,16.31,11.11
2000-06-22,26.11,0.18,16.34,11.16
2000-06-23,25.64,0.18,16.36,10.91
2000-06-26,24.86,0.18,16.44,10.66
2000-06-27,25.42,0.18,16.54,11.36
2000-06-28,25.34,0.18,16.9,11.16
2000-06-29,25.1,0.18,17.25,11.11
2000-06-30,24.72,0.18,17.51,10.96
2000-07-03,25.56,0.18,17.34,10.56
2000-07-05,25.62,0.17,17.66,10.96
2000-07-06,25.3,0.17,17.5,11.06
2000-07-07,26.07,0.22,17.51,10.96
2000-07-10,25.88,0.22,17.77,11.16
2000-07-11,25.28,0.22,17.9,11.31
2000-07-12,25.1,0.22,17.84,11.66
2000-07-13,25.28,0.3,17.32,11.41
2000-07-14,25.5,0.3,17.47,11.61
2000-07-17,25.1,0.3,17.21,11.61
2000-07-18,24.9,0.25,17.08,11.21
2000-07-19,24.4,0.25,16.9,10.91
2000-07-20,23.56,0.25,16.77,10.46
2000-07-21,23.98,0.25,16.85,10.56
2000-07-24,23.12,0.25,17.3,10.61
2000-07-25,22.72,0.25,17.63,10.46
2000-07-26,22.16,0.25,17.63,10.66
2000-07-27,21.77,0.25,17.55,10.56
2000-07-28,22.76,0.25,17.51,10.56
2000-07-31,22.52,0.17,17.34,11.16
2000-08-01,22.44,0.17,17.4,10.96
2000-08-02,22.0,0.17,17.19,11.31
2000-08-03,21.87,0.17,16.91,11.46
2000-08-04,22.28,0.2,17.03,11.61
2000-08-07,22.52,0.2,17.04,11.46
2000-08-08,22.48,0.2,17.09,11.46
2000-08-09,23.66,0.2,17.42,11.66
2000-08-10,23.68,0.16,17.51,11.96
2000-08-11,23.24,0.2,17.56,11.81
2000-08-14,23.2,0.2,17.43,12.36
2000-08-15,23.1,0.2,17.66,12.21
2000-08-16,23.06,0.24,17.63,12.06
2000-08-17,22.82,0.2,17.74,12.16
2000-08-18,22.82,0.2,17.66,11.91
2000-08-21,22.68,0.26,17.64,11.91
2000-08-22,22.72,0.26,17.58,12.16
2000-08-23,22.72,0.26,17.61,11.96
2000-08-24,22.66,0.26,17.97,11.96
2000-08-25,22.68,0.26,17.77,11.81
2000-08-28,22.52,0.19,17.92,11.86
2000-08-29,22.84,0.18,17.77,12.26
2000-08-30,22.68,0.17,17.66,12.06
2000-08-31,22.74,0.17,17.84,11.81
2000-09-01,22.46,0.17,17.62,11.81
2000-09-05,22.46,0.17,17.89,11.81
2000-09-06,22.48,0.17,17.82,11.66
2000-09-07,22.46,0.17,17.72,11.96
2000-09-08,22.58,0.17,17.4,11.81
2000-09-11,22.18,0.17,17.24,11.71
2000-09-12,22.06,0.17,17.16,11.81
2000-09-13,21.67,0.17,17.12,11.82
2000-09-14,22.04,0.17,17.32,11.72
2000-09-15,20.99,0.17,17.14,11.52
2000-09-18,20.61,0.17,16.62,11.32
2000-09-19,20.41,0.17,16.29,11.57
2000-09-20,20.81,0.17,16.29,11.67
2000-09-21,20.53,0.15,16.33,11.52
2000-09-22,19.61,0.21,16.76,11.57
2000-09-25,20.29,0.21,16.92,11.37
2000-09-26,19.55,0.21,17.04,11.07
2000-09-27,20.35,0.21,17.24,11.17
2000-09-28,19.51,0.2,17.45,10.97
2000-09-29,19.57,0.2,17.52,11.07
2000-10-02,19.41,0.2,17.79,11.67
2000-10-03,19.11,0.2,17.87,11.67
2000-10-04,18.09,0.2,18.1,11.22
2000-10-05,17.8,0.2,18.0,11.37
2000-10-06,17.9,0.2,18.02,11.77
2000-10-09,17.84,0.2,17.54,11.57
2000-10-10,17.3,0.2,17.34,11.67
2000-10-11,17.32,0.2,17.07,11.22
2000-10-12,18.07,0.18,17.07,11.02
2000-10-13,17.28,0.18,16.54,10.77
2000-10-16,17.16,0.18,16.26,10.42
2000-10-17,16.64,0.18,16.38,10.52
2000-10-18,15.92,0.18,16.18,9.47
2000-10-19,18.75,0.18,16.87,9.57
2000-10-20,19.67,0.18,17.04,9.72
2000-10-23,20.73,0.18,16.92,9.82
2000-10-24,20.09,0.18,17.12,9.87
2000-10-25,19.87,0.19,16.97,10.07
2000-10-26,19.57,0.19,17.09,9.92
2000-10-27,20.75,0.2,17.01,9.72
2000-10-30,21.65,0.21,17.8,10.22
2000-10-31,22.14,0.18,18.19,10.42
2000-11-01,21.97,0.15,18.48,10.47
2000-11-02,22.58,0.17,18.87,9.77
2000-11-03,22.22,0.17,19.12,10.22
2000-11-06,22.04,0.17,19.13,10.17
2000-11-07,22.38,0.16,18.85,10.12
2000-11-08,22.82,0.16,19.02,10.37
2000-11-09,21.97,0.16,19.03,10.12
2000-11-10,22.44,0.16,19.31,10.17
